"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10023815322"	"3.18e-88"	"8.10e-93"	"25.982607"	"200.97019"	"0.89598742"	"CRH"	"corticotropin releasing hormone"
"10025934933"	"8.95e-81"	"2.28e-85"	"24.381338"	"183.92207"	"0.25469732"	""	""
"10023822632"	"4.70e-80"	"1.20e-84"	"24.227246"	"182.27309"	"0.43526906"	"BDNF"	"brain-derived neurotrophic factor"
"10025904757"	"4.61e-79"	"1.17e-83"	"24.015414"	"180.0042"	"0.31838525"	"CORT"	"cortistatin"
"10026391091"	"5.15e-77"	"1.31e-81"	"23.578288"	"175.31536"	"0.54730042"	"VGF"	"VGF nerve growth factor inducible"
"10025910121"	"3.41e-76"	"8.68e-81"	"23.403343"	"173.43648"	"0.50506258"	"NEUROD6"	"neurogenic differentiation 6"
"10025911097"	"2.09e-75"	"5.32e-80"	"23.235632"	"171.63418"	"0.4883621"	"FRMPD2"	"FERM and PDZ domain containing 2"
"10023815084"	"1.59e-74"	"4.06e-79"	"23.047747"	"169.61388"	"0.63603335"	"PPEF1"	"protein phosphatase, EF-hand calcium binding domain 1"
"10025906503"	"1.99e-74"	"5.07e-79"	"-23.027168"	"169.39252"	"-0.58875469"	"FKBP5"	"FK506 binding protein 5"
"10023812404"	"2.20e-73"	"5.60e-78"	"-22.805187"	"167.00399"	"-0.21573334"	"AFF1"	"AF4/FMR2 family, member 1"
"10023810409"	"7.67e-73"	"1.95e-77"	"22.68989"	"165.76284"	"0.58993922"	"VIP"	"vasoactive intestinal peptide"
"10025902315"	"1.05e-72"	"2.68e-77"	"-22.660693"	"165.44849"	"-0.40314045"	"ITPKB"	"inositol 1,4,5-trisphosphate 3-kinase B"
"10023816018"	"2.52e-72"	"6.41e-77"	"22.580136"	"164.58104"	"0.4414712"	"DUSP4"	"dual specificity phosphatase 4"
"10025908435"	"3.42e-72"	"8.71e-77"	"22.551797"	"164.27585"	"0.46369888"	"DUSP4"	"dual specificity phosphatase 4"
"10025905029"	"4.59e-71"	"1.17e-75"	"-22.312158"	"161.69441"	"-0.36036994"	"NFKBIA"	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"
"10025903459"	"9.01e-71"	"2.29e-75"	"-22.249923"	"161.02383"	"-0.16644606"	"TBC1D2B"	"TBC1 domain family, member 2B"
"10025904476"	"6.36e-70"	"1.62e-74"	"-22.069632"	"159.08084"	"-0.56144908"	"C4A"	"complement component 4A (Rodgers blood group)"
"10033668850"	"1.00e-69"	"2.55e-74"	"-22.027642"	"158.62826"	"-0.48543696"	"C4A"	"complement component 4A (Rodgers blood group)"
"10025923114"	"1.98e-69"	"5.05e-74"	"21.964683"	"157.94961"	"0.40513514"	""	""
"10025931577"	"4.14e-69"	"1.05e-73"	"21.896814"	"157.21801"	"0.64091905"	""	""
"10031919807"	"5.19e-69"	"1.32e-73"	"-21.87597"	"156.99331"	"-0.56081682"	"C4B"	"complement component 4B (Childo blood group)"
"10025909612"	"1.67e-68"	"4.25e-73"	"21.768114"	"155.83056"	"0.46670086"	"BDNF"	"brain-derived neurotrophic factor"
"10023823706"	"1.74e-68"	"4.44e-73"	"-21.764192"	"155.78828"	"-0.4994656"	"SLC7A2"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"
"10023809844"	"6.61e-68"	"1.68e-72"	"-21.641239"	"154.46269"	"-0.44436926"	""	""
"10023820124"	"4.27e-67"	"1.09e-71"	"21.469283"	"152.60873"	"0.22141529"	"SOBP"	"sine oculis binding protein homolog (Drosophila)"
"10023820526"	"4.77e-67"	"1.21e-71"	"21.459003"	"152.4979"	"0.18678271"	""	""
"10023810013"	"6.66e-66"	"1.70e-70"	"21.215852"	"149.87644"	"0.42600015"	"NMU"	"neuromedin U"
"10025927323"	"1.44e-65"	"3.67e-70"	"21.14454"	"149.10767"	"0.34686681"	""	""
"10025903522"	"1.58e-65"	"4.03e-70"	"-21.136106"	"149.01675"	"-0.34129818"	"ZFP36L1"	"zinc finger protein 36, C3H type-like 1"
"10023842695"	"1.67e-65"	"4.26e-70"	"21.130959"	"148.96127"	"0.27104999"	"GSG1"	"germ cell associated 1"
"10025929428"	"4.24e-65"	"1.08e-69"	"21.045025"	"148.03495"	"0.18481417"	"C17orf76"	"chromosome 17 open reading frame 76"
"10023812264"	"4.25e-65"	"1.08e-69"	"21.044905"	"148.03365"	"0.60401492"	"SST"	"somatostatin"
"10025904986"	"5.61e-65"	"1.43e-69"	"21.01922"	"147.7568"	"0.18236747"	"C11orf31"	"chromosome 11 open reading frame 31"
"10023847138"	"6.31e-65"	"1.61e-69"	"-21.008488"	"147.64112"	"-0.24758083"	"CALML4"	"calmodulin-like 4"
"10023804956"	"6.64e-65"	"1.69e-69"	"21.003693"	"147.58944"	"0.5025743"	"FREM3"	"FRAS1 related extracellular matrix 3"
"10023819474"	"9.29e-65"	"2.37e-69"	"-20.972715"	"147.25556"	"-0.28894176"	"CD59"	"CD59 molecule, complement regulatory protein"
"10023814349"	"1.20e-64"	"3.05e-69"	"-20.949298"	"147.00316"	"-0.52586335"	"C4B"	"complement component 4B (Childo blood group)"
"10025923120"	"2.02e-64"	"5.15e-69"	"20.900973"	"146.48235"	"0.17031151"	""	""
"10023813116"	"2.76e-64"	"7.02e-69"	"-20.872404"	"146.17447"	"-0.47124738"	"NUPR1"	"nuclear protein 1"
"10031920499"	"4.14e-64"	"1.05e-68"	"20.834801"	"145.76925"	"0.37927558"	"VWC2"	"von Willebrand factor C domain containing 2"
"10023817216"	"4.82e-64"	"1.23e-68"	"20.820786"	"145.61823"	"0.34062878"	"NRN1"	"neuritin 1"
"10033668726"	"5.59e-64"	"1.42e-68"	"-20.807219"	"145.47203"	"-0.30626001"	"TNFRSF10B"	"tumor necrosis factor receptor superfamily, member 10b"
"10023836906"	"6.18e-64"	"1.57e-68"	"20.797829"	"145.37084"	"0.24345505"	"CHCHD6"	"coiled-coil-helix-coiled-coil-helix domain containing 6"
"10025904760"	"6.40e-64"	"1.63e-68"	"-20.794636"	"145.33644"	"-0.42204175"	"RHBDF2"	"rhomboid 5 homolog 2 (Drosophila)"
"10023820542"	"6.56e-64"	"1.67e-68"	"20.792414"	"145.3125"	"0.23436642"	"WSB2"	"WD repeat and SOCS box-containing 2"
"10023810924"	"7.40e-64"	"1.88e-68"	"20.781264"	"145.19236"	"0.34451626"	"GRP"	"gastrin-releasing peptide"
