ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8088846	0.00000395	1.19e-10	7.294575	13.599843	0.2642857		
8056045	0.00001518	4.56e-10	7.003468	12.374057	0.2736049		
7916743	0.00003754	1.13e-09	6.80601	11.549131	0.254171		
7893692	0.00043334	1.30e-08	6.263844	9.318616	0.2404483		
8022020	0.00083239	2.50e-08	6.116574	8.723181	0.3253878		
7896670	0.00088874	2.67e-08	6.101727	8.663433	0.2439183		
8016429	0.00159726	4.80e-08	5.96825	8.128728	0.215284		
7894020	0.0027834	8.36e-08	5.840745	7.622236	0.3361032		
8103374	0.00307735	9.24e-08	5.817581	7.530689	0.1935276		
7894640	0.00347269	1.04e-07	5.789644	7.420483	0.1866031		
7894434	0.00364896	1.10e-07	5.778185	7.375339	0.2404189		
7979127	0.00568127	1.71e-07	5.675298	6.971708	0.1766897		
8145490	0.00728537	2.19e-07	-5.617164	6.745025	-0.2597113	PTK2B	protein tyrosine kinase 2 beta
8008596	0.00775549	2.33e-07	5.602507	6.688033	0.1762828		
8112801	0.00781236	2.35e-07	5.600794	6.681374	0.2345767		
8070169	0.00936811	2.81e-07	5.558129	6.515875	0.1904505		
7900144	0.01122373	3.37e-07	5.515532	6.351206	0.258621		
8113591	0.01177751	3.54e-07	-5.504156	6.307326	-0.212046	PGGT1B	protein geranylgeranyltransferase type I subunit beta
8092638	0.01204901	3.62e-07	5.498769	6.286562	0.2489536		
8094355	0.01342227	4.03e-07	5.473226	6.188233	0.2429452		
7948306	0.0196253	5.89e-07	5.382896	5.84221	0.2442429		
8086899	0.01992102	5.98e-07	-5.379326	5.828591	-0.2404528	NME6	NME/NM23 nucleoside diphosphate kinase 6
7895802	0.02193303	6.59e-07	5.356334	5.740976	0.2844404		
8142194	0.02222021	6.67e-07	-5.353222	5.729132	-0.3930402	LAMB1	laminin subunit beta 1
7895669	0.02560318	7.69e-07	5.319267	5.600108	0.2936353		
7988344	0.03126688	9.39e-07	5.271215	5.418198	0.2381987		
7893152	0.0312756	9.39e-07	5.271148	5.417944	0.1952274		
7894474	0.03296964	9.90e-07	5.25843	5.369936	0.224962		
7989144	0.03852472	1.16e-06	5.220805	5.228236	0.3479514		
8091678	0.04125169	1.24e-06	-5.204239	5.166008	-0.6422812	VEPH1	ventricular zone expressed PH domain containing 1
8180376	0.04758309	1.43e-06	-5.169574	5.036111	-0.4330544	AKR1C1	aldo-keto reductase family 1 member C1
8168115	0.0488795	1.47e-06	5.163035	5.01166	0.1984356		
7893701	0.0493829	1.48e-06	5.160542	5.00234	0.2054175		
8028341	0.05257043	1.58e-06	-5.145308	4.945448	-0.2437487	CATSPERG	cation channel sperm associated auxiliary subunit gamma
7894678	0.05280992	1.59e-06	5.1442	4.941314	0.2556475		
8144512	0.05325933	1.60e-06	5.142135	4.933607	0.1932783		
7979510	0.05734286	1.72e-06	5.12411	4.866422	0.1778207	SIX4	SIX homeobox 4
7949019	0.0589682	1.77e-06	5.117282	4.841005	0.4011037		
8016607	0.05931752	1.78e-06	5.115839	4.835634	0.1734296		
8085770	0.05935829	1.78e-06	5.115671	4.835009	0.138241		
8152551	0.05961378	1.79e-06	5.114621	4.831103	0.2110008		
8052370	0.06184347	1.86e-06	5.105643	4.797714	0.1724582		
7954021	0.06208125	1.86e-06	-5.104704	4.794224	-0.2102152	CREBL2	cAMP responsive element binding protein like 2
7942912	0.06228929	1.87e-06	5.103885	4.791182	0.2222642		
7916667	0.06344301	1.91e-06	5.099394	4.774495	0.2728715		
7966172	0.06596782	1.98e-06	-5.089838	4.739013	-0.3210776	SVOP	SV2 related protein
7896115	0.0675956	2.03e-06	5.083864	4.716851	0.1139697		
7894142	0.0745966	2.24e-06	5.059678	4.627259	0.3521451		
8014861	0.07921801	2.38e-06	5.044899	4.572622	0.2658341		
8000716	0.08865404	2.66e-06	-5.017172	4.470344	-0.1716213	SEZ6L2	seizure related 6 homolog like 2
8143108	0.09138498	2.74e-06	5.009684	4.442774	0.1957182		
7894934	0.09602317	2.88e-06	4.997453	4.397788	0.2569812		
7944525	0.09901196	2.97e-06	4.989873	4.369939	0.1513861		
7938777	0.10423253	3.13e-06	-4.977153	4.323256	-0.2043411	LDHA	lactate dehydrogenase A
8173823	0.10632299	3.19e-06	4.972234	4.305216	0.2067917		
8056792	0.1157858	3.48e-06	4.951082	4.227768	0.2259466		
8105605	0.11757896	3.53e-06	4.947264	4.21381	0.2259799		
8089255	0.12019337	3.61e-06	4.941799	4.193835	0.2649636		
8124162	0.12497249	3.75e-06	4.932102	4.158423	0.1524472		
8106250	0.14065205	4.22e-06	4.902647	4.051095	0.1619962		
7927031	0.14136019	4.25e-06	4.901394	4.046535	0.249727		
8112724	0.14998716	4.50e-06	4.886596	3.992753	0.2021746		
7893660	0.15111919	4.54e-06	4.884716	3.985927	0.2026215		
8007607	0.1547026	4.65e-06	-4.878854	3.964653	-0.1253389	RUNDC3A	RUN domain containing 3A
8084126	0.15564095	4.67e-06	4.877341	3.959163	0.1264941		
7894522	0.16168669	4.86e-06	4.8678	3.924571	0.2576961		
7978239	0.16295397	4.89e-06	-4.865844	3.917484	-0.1277593	RABGGTA	Rab geranylgeranyltransferase alpha subunit
7964575	0.17109025	5.14e-06	4.853629	3.873262	0.1846873	AVIL	advillin
8003226	0.18008853	5.41e-06	4.840762	3.826744	0.207604		
8083775	0.180579	5.42e-06	4.840079	3.824276	0.1653602		
7956200	0.18307878	5.50e-06	-4.836624	3.8118	-0.1098367	MYL6B	myosin light chain 6B
8150212	0.19307888	5.80e-06	4.823249	3.763543	0.2347992		
7954963	0.20023365	6.01e-06	4.814088	3.73053	0.1674356		
7969675	0.20219743	6.07e-06	4.811629	3.721675	0.1867696		
8057819	0.20277667	6.09e-06	4.810908	3.71908	0.2636151		
