ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1679045	6.60e-10	5.32e-14	-8.572777	21.05578	-0.7466361	SBDS	SBDS ribosome assembly guanine nucleotide exchange factor
ILMN_1651286	2.30e-08	1.85e-12	7.89693	17.72992	1.1659131	GRHL1	grainyhead like transcription factor 1
ILMN_1791466	1.11e-07	8.97e-12	-7.592277	16.25284	-1.0790292		
ILMN_1810387	6.44e-07	5.19e-11	-7.248554	14.60743	-0.4582705	PLAA	phospholipase A2 activating protein
ILMN_1695877	1.80e-06	1.45e-10	-7.04446	13.64262	-0.5056555	SNRPE	small nuclear ribonucleoprotein polypeptide E
ILMN_1702407	7.54e-06	6.07e-10	6.75704	12.30137	0.4806934	SPIN1	spindlin 1
ILMN_1663646	1.10e-05	8.83e-10	-6.681045	11.95045	-0.5366357	DMXL1	Dmx like 1
ILMN_1719996	1.18e-05	9.51e-10	-6.666044	11.88137	-0.7355274	ZMAT1	zinc finger matrin-type 1
ILMN_1792385	1.29e-05	1.04e-09	-6.648554	11.80091	-0.5734345	TTC32	tetratricopeptide repeat domain 32
ILMN_1775677	5.15e-05	4.15e-09	-6.363329	10.50169	-0.4441154	TYSND1	trypsin domain containing 1
ILMN_1734696	8.03e-05	6.46e-09	-6.271007	10.08663	-0.3432342	FRG1	FSHD region gene 1
ILMN_1745423	9.29e-05	7.48e-09	-6.240404	9.94967	-0.4393289	UTP3	UTP3, small subunit processome component homolog (S. cerevisiae)
ILMN_1654942	1.64e-04	1.32e-08	6.120851	9.41766	0.5019953	NFIC	nuclear factor I C
ILMN_1661039	1.68e-04	1.36e-08	-6.115312	9.39313	-0.7485417	MRPL30	mitochondrial ribosomal protein L30
ILMN_1688959	3.32e-04	2.67e-08	5.971301	8.75926	0.7769836	CD27	CD27 molecule
ILMN_1736068	3.63e-04	2.92e-08	-5.95232	8.67628	-0.4446747	CNOT8	CCR4-NOT transcription complex subunit 8
ILMN_1758299	5.66e-04	4.56e-08	5.856635	8.26001	0.8173785		
ILMN_1725739	6.20e-04	4.99e-08	5.836817	8.17423	0.8255611	TNRC6B	trinucleotide repeat containing 6B
ILMN_1657790	6.34e-04	5.10e-08	-5.832223	8.15436	-0.5170719	SRSF11	serine and arginine rich splicing factor 11
ILMN_1785661	6.64e-04	5.34e-08	-5.822159	8.11088	-0.6392464	ABHD17B	abhydrolase domain containing 17B
ILMN_1803742	7.35e-04	5.92e-08	-5.800175	8.01603	-0.7316981	CAPZA1	capping actin protein of muscle Z-line alpha subunit 1
ILMN_1651642	9.17e-04	7.38e-08	-5.752075	7.80916	-0.6538051	GPC2	glypican 2
ILMN_1782222	1.06e-03	8.49e-08	-5.72147	7.678	-0.570536	KIAA1033	KIAA1033
ILMN_1668446	1.06e-03	8.56e-08	-5.719688	7.67038	-0.5589459	ABCA9	ATP binding cassette subfamily A member 9
ILMN_1653228	1.07e-03	8.59e-08	5.719095	7.66784	1.3604638	C3orf22	chromosome 3 open reading frame 22
ILMN_1654761	1.20e-03	9.62e-08	-5.694214	7.56152	-0.6000904	KATNA1	katanin catalytic subunit A1
ILMN_1720266	1.28e-03	1.03e-07	-5.679312	7.49796	-0.7213202		
ILMN_1791536	1.34e-03	1.08e-07	-5.669817	7.45751	-0.3736027	BTAF1	B-TFIID TATA-box binding protein associated factor 1
ILMN_1671725	1.42e-03	1.14e-07	5.656766	7.40197	0.7792545	REPIN1	replication initiator 1
ILMN_1787844	1.99e-03	1.60e-07	-5.581877	7.08463	-0.5732725	MYDGF	myeloid derived growth factor
ILMN_1702943	2.00e-03	1.61e-07	5.580928	7.08062	0.6347891	DLK2	delta like non-canonical Notch ligand 2
ILMN_1707156	2.13e-03	1.71e-07	-5.567367	7.02341	-0.4430716	LRRFIP2	LRR binding FLII interacting protein 2
ILMN_1716740	2.84e-03	2.28e-07	-5.50351	6.75507	-0.8599444	RPL27A	ribosomal protein L27a
ILMN_1657697	2.87e-03	2.31e-07	-5.500582	6.7428	-0.3170477	SAR1A	secretion associated Ras related GTPase 1A
ILMN_1755115	3.02e-03	2.43e-07	-5.489406	6.69603	-0.46081	RPL23	ribosomal protein L23
ILMN_1729019	3.18e-03	2.56e-07	-5.478094	6.64875	-0.5996399	SEPT7	septin 7
ILMN_1758474	3.42e-03	2.75e-07	-5.462028	6.58168	-0.2864648	PRKRA	protein activator of interferon induced protein kinase EIF2AK2
ILMN_1803813	3.64e-03	2.93e-07	-5.447594	6.52153	-0.397767	ASTE1	asteroid homolog 1 (Drosophila)
ILMN_1674337	4.12e-03	3.31e-07	-5.420294	6.408	-0.5827516	FKBP2	FK506 binding protein 2
ILMN_1768913	4.35e-03	3.50e-07	-5.407957	6.3568	-0.6058942	TSN	translin
ILMN_1695985	4.48e-03	3.60e-07	-5.401426	6.32973	-0.4815136	OAZ2	ornithine decarboxylase antizyme 2
ILMN_1743187	4.58e-03	3.69e-07	-5.396233	6.30822	-0.4704397	C6orf120	chromosome 6 open reading frame 120
ILMN_1807649	5.16e-03	4.15e-07	-5.369544	6.19783	-0.5646505	SPOPL	speckle type BTB/POZ protein like
ILMN_1675626	5.87e-03	4.72e-07	-5.340496	6.07805	-0.3893572		
ILMN_1806099	6.04e-03	4.86e-07	5.333856	6.05073	1.0019425	RXFP4	relaxin/insulin like family peptide receptor 4
ILMN_1811363	6.66e-03	5.36e-07	-5.311614	5.95933	-0.4195147	NOVA1	NOVA alternative splicing regulator 1
ILMN_1792712	7.01e-03	5.64e-07	-5.30004	5.91187	-0.6665022	C4orf46	chromosome 4 open reading frame 46
