Name	enhancer_num
ENSG00000251503	21
ENSG00000175279	21
ENSG00000054523	25
ENSG00000228150	5
ENSG00000202415	5
ENSG00000173614	5
ENSG00000162441	5
ENSG00000130939	2
ENSG00000175262	2
ENSG00000224340	10
ENSG00000233623	10
ENSG00000225786	5
ENSG00000271989	2
ENSG00000265945	5
ENSG00000264501	5
ENSG00000171603	32
ENSG00000225905	42
ENSG00000225285	22
ENSG00000179403	22
ENSG00000230415	11
ENSG00000188157	35
ENSG00000221978	12
ENSG00000188976	15
ENSG00000235098	42
ENSG00000224870	12
ENSG00000242590	24
ENSG00000131591	12
ENSG00000205116	54
ENSG00000187583	15
ENSG00000187961	15
ENSG00000205090	15
ENSG00000217801	12
ENSG00000160087	20
ENSG00000237330	12
ENSG00000273443	12
ENSG00000197785	25
ENSG00000228594	15
ENSG00000162576	25
ENSG00000162636	3
ENSG00000134184	12
ENSG00000260246	12
ENSG00000134222	20
ENSG00000156097	15
ENSG00000134243	25
ENSG00000065135	15
ENSG00000221986	25
ENSG00000254942	15
ENSG00000251484	15
ENSG00000270066	15
ENSG00000143126	25
ENSG00000228054	6
ENSG00000085433	6
ENSG00000162650	7
ENSG00000198758	8
ENSG00000168765	5
ENSG00000213366	5
ENSG00000270380	2
ENSG00000143125	2
ENSG00000240194	12
ENSG00000116396	4
ENSG00000143093	1
ENSG00000197106	1
ENSG00000177301	1
ENSG00000173947	1
ENSG00000199710	5
ENSG00000259834	3
ENSG00000221538	3
ENSG00000083444	7
ENSG00000215867	2
ENSG00000064703	10
ENSG00000197852	10
ENSG00000201028	2
ENSG00000227811	8
ENSG00000143110	4
ENSG00000121933	4
ENSG00000200360	4
ENSG00000171819	3
ENSG00000155363	7
ENSG00000134245	6
ENSG00000225075	7
ENSG00000155366	6
ENSG00000155367	7
ENSG00000235299	16
ENSG00000116489	16
ENSG00000184599	7
ENSG00000007341	16
ENSG00000155380	3
ENSG00000226419	3
ENSG00000130940	3
ENSG00000162571	6
