Group.1	neuron_count	oligo_count	micro_count
ENSG00000000003	0	0	0
ENSG00000000419	3	0	0
ENSG00000000457	5	0	2
ENSG00000000460	0	0	7
ENSG00000000938	2	3	8
ENSG00000001036	0	0	4
ENSG00000001084	5	12	15
ENSG00000001167	3	0	4
ENSG00000001461	4	0	12
ENSG00000001497	0	0	0
ENSG00000001561	0	0	0
ENSG00000001629	6	18	1
ENSG00000001630	6	7	4
ENSG00000002016	11	10	41
ENSG00000002549	7	7	8
ENSG00000002586	0	0	0
ENSG00000002587	3	0	17
ENSG00000002746	18	0	0
ENSG00000002822	1	2	4
ENSG00000002834	32	0	10
ENSG00000002919	0	2	2
ENSG00000003056	3	0	2
ENSG00000003096	0	0	0
ENSG00000003137	7	10	1
ENSG00000003147	7	0	7
ENSG00000003249	0	0	0
ENSG00000003393	8	0	8
ENSG00000003400	1	1	12
ENSG00000003402	4	2	41
ENSG00000003509	0	0	0
ENSG00000003756	8	0	2
ENSG00000003987	7	2	0
ENSG00000003989	0	0	0
ENSG00000004059	2	0	1
ENSG00000004139	1	0	0
ENSG00000004399	20	0	7
ENSG00000004455	0	1	3
ENSG00000004468	0	0	0
ENSG00000004478	0	0	0
ENSG00000004487	0	0	0
ENSG00000004534	3	0	0
ENSG00000004660	0	0	0
ENSG00000004700	2	0	3
ENSG00000004766	3	0	2
ENSG00000004776	1	1	0
ENSG00000004777	0	2	0
ENSG00000004779	0	0	0
ENSG00000004799	0	3	5
ENSG00000004809	0	1	0
ENSG00000004838	0	1	3
ENSG00000004848	0	0	0
ENSG00000004864	8	5	3
ENSG00000004897	3	0	2
ENSG00000004961	0	0	0
ENSG00000004975	5	0	7
ENSG00000005007	9	2	12
ENSG00000005020	0	0	5
ENSG00000005059	0	0	0
ENSG00000005075	3	0	1
ENSG00000005100	2	0	0
ENSG00000005108	6	0	0
ENSG00000005156	9	5	5
ENSG00000005175	2	3	9
ENSG00000005187	0	0	0
ENSG00000005206	2	4	18
ENSG00000005238	23	11	21
ENSG00000005249	6	0	1
ENSG00000005302	0	0	0
ENSG00000005339	6	6	4
ENSG00000005379	1	0	0
ENSG00000005436	0	0	0
ENSG00000005448	3	1	2
ENSG00000005471	3	0	0
ENSG00000005486	0	2	9
ENSG00000005513	3	6	1
ENSG00000005700	3	2	5
ENSG00000005801	2	0	6
ENSG00000005810	11	10	13
ENSG00000005812	2	0	0
ENSG00000005844	0	0	1
ENSG00000005882	7	2	2
ENSG00000005884	8	0	0
ENSG00000005889	0	0	0
ENSG00000005893	0	0	0
ENSG00000006007	4	3	15
ENSG00000006015	2	1	13
ENSG00000006016	0	0	0
ENSG00000006025	0	0	0
ENSG00000006042	0	0	0
ENSG00000006047	3	0	1
ENSG00000006062	2	0	17
ENSG00000006071	5	1	0
ENSG00000006116	49	0	0
ENSG00000006118	5	0	0
ENSG00000006125	3	0	4
ENSG00000006128	5	0	0
ENSG00000006194	2	6	4
ENSG00000006210	2	0	1
ENSG00000006282	12	8	13
ENSG00000006283	28	1	10
ENSG00000006327	0	0	0
ENSG00000006377	9	0	0
ENSG00000006432	8	0	5
ENSG00000006451	5	2	2
ENSG00000006459	6	5	6
ENSG00000006468	18	2	0
ENSG00000006530	6	2	1
ENSG00000006534	6	0	4
ENSG00000006555	0	0	0
ENSG00000006607	2	4	11
ENSG00000006611	0	0	0
ENSG00000006625	25	1	28
ENSG00000006638	0	0	0
ENSG00000006652	29	7	79
ENSG00000006704	5	7	5
ENSG00000006712	0	13	0
ENSG00000006715	0	0	0
ENSG00000006744	1	0	0
ENSG00000006747	0	0	2
ENSG00000006756	0	0	0
ENSG00000006757	0	0	0
ENSG00000006831	1	47	0
ENSG00000006837	1	0	3
ENSG00000007047	14	0	1
ENSG00000007062	0	1	0
ENSG00000007080	2	3	1
ENSG00000007129	0	0	27
ENSG00000007168	1	2	0
ENSG00000007174	0	0	0
ENSG00000007202	10	2	8
ENSG00000007237	62	39	14
ENSG00000007264	0	0	0
ENSG00000007372	0	0	0
ENSG00000007376	0	3	3
ENSG00000007384	3	1	2
ENSG00000007392	0	0	4
ENSG00000007402	0	0	0
ENSG00000007516	0	0	0
ENSG00000007541	3	0	2
ENSG00000007866	0	0	9
ENSG00000007923	3	0	1
ENSG00000007944	13	6	9
ENSG00000007968	4	2	1
ENSG00000008018	2	5	6
ENSG00000008056	0	0	0
ENSG00000008083	1	1	1
ENSG00000008086	0	0	0
ENSG00000008118	12	3	0
ENSG00000008128	0	0	1
ENSG00000008130	3	3	4
ENSG00000008226	3	0	2
ENSG00000008256	11	0	6
ENSG00000008277	7	0	0
ENSG00000008282	1	3	2
ENSG00000008283	10	4	16
ENSG00000008294	0	5	2
ENSG00000008300	3	0	2
ENSG00000008311	0	0	0
ENSG00000008323	3	0	4
ENSG00000008382	0	0	1
ENSG00000008394	0	0	0
ENSG00000008405	4	0	0
ENSG00000008441	18	12	4
ENSG00000008513	50	0	39
ENSG00000008516	0	0	0
ENSG00000008710	12	3	18
ENSG00000008735	0	1	4
ENSG00000008838	4	4	0
ENSG00000008853	31	0	21
ENSG00000008869	0	0	0
ENSG00000008952	10	0	5
ENSG00000009307	3	0	1
ENSG00000009335	0	0	0
ENSG00000009780	0	0	0
ENSG00000009790	2	0	2
ENSG00000009844	0	0	4
ENSG00000009950	4	0	3
ENSG00000009954	3	0	1
ENSG00000010017	2	0	7
ENSG00000010030	0	0	0
ENSG00000010165	0	2	3
ENSG00000010219	0	0	0
ENSG00000010244	3	0	2
ENSG00000010256	3	0	2
ENSG00000010270	2	0	1
ENSG00000010278	1	10	0
ENSG00000010292	3	3	4
ENSG00000010295	0	0	7
ENSG00000010310	0	0	0
ENSG00000010318	3	0	1
ENSG00000010322	5	1	4
ENSG00000010327	0	0	0
ENSG00000010361	2	0	0
ENSG00000010404	0	0	0
ENSG00000010438	0	0	0
ENSG00000010539	3	0	6
ENSG00000010610	0	0	7
ENSG00000010626	3	0	1
ENSG00000010671	0	0	0
ENSG00000010704	0	0	0
ENSG00000010803	0	0	0
ENSG00000010810	5	43	0
ENSG00000010818	81	33	10
ENSG00000011007	0	0	0
ENSG00000011009	3	0	4
ENSG00000011021	0	0	4
ENSG00000011028	0	0	2
ENSG00000011083	2	0	2
ENSG00000011105	6	0	0
ENSG00000011114	2	0	8
ENSG00000011132	3	0	2
ENSG00000011143	2	0	0
ENSG00000011198	2	0	0
ENSG00000011201	0	0	0
ENSG00000011243	1	2	4
ENSG00000011260	3	0	1
ENSG00000011275	0	0	0
ENSG00000011304	0	2	2
ENSG00000011332	20	8	7
ENSG00000011347	6	0	0
ENSG00000011376	5	0	2
ENSG00000011405	0	0	4
ENSG00000011422	0	0	9
ENSG00000011451	5	0	2
ENSG00000011454	6	0	0
ENSG00000011465	0	0	0
ENSG00000011478	1	0	3
ENSG00000011485	0	0	0
ENSG00000011523	3	0	7
ENSG00000011566	23	2	6
ENSG00000011590	0	0	3
ENSG00000011600	0	0	1
ENSG00000011677	0	0	0
ENSG00000012061	4	2	14
ENSG00000012171	3	12	2
ENSG00000012174	0	0	0
ENSG00000012211	0	0	0
ENSG00000012232	10	2	2
ENSG00000012660	0	18	0
ENSG00000012779	0	0	8
ENSG00000012817	0	0	0
ENSG00000012822	4	1	1
ENSG00000012983	21	19	8
ENSG00000013016	3	3	0
ENSG00000013275	6	2	21
ENSG00000013288	3	0	1
ENSG00000013293	1	3	0
ENSG00000013306	17	9	24
ENSG00000013364	3	1	2
ENSG00000013374	0	0	0
ENSG00000013392	0	0	5
ENSG00000013441	2	1	7
ENSG00000013503	1	0	2
ENSG00000013523	2	1	6
ENSG00000013561	6	4	7
ENSG00000013563	0	0	0
ENSG00000013588	0	0	1
ENSG00000013619	0	0	0
ENSG00000014123	3	0	4
ENSG00000014138	3	5	3
ENSG00000014164	0	0	0
ENSG00000014216	0	0	1
ENSG00000014257	0	0	0
ENSG00000014641	2	3	3
ENSG00000014824	0	0	0
ENSG00000014914	0	0	4
ENSG00000015133	2	0	1
ENSG00000015153	7	1	0
ENSG00000015171	0	0	0
ENSG00000015285	0	0	0
ENSG00000015475	3	0	2
ENSG00000015479	79	16	30
ENSG00000015532	0	0	0
ENSG00000015568	3	0	2
ENSG00000015592	38	18	0
ENSG00000015676	18	3	9
ENSG00000016082	0	0	0
ENSG00000016391	0	0	0
ENSG00000016402	0	0	0
ENSG00000016602	0	0	0
ENSG00000016864	0	0	1
ENSG00000017260	17	2	7
ENSG00000017427	2	0	1
ENSG00000017797	3	1	6
ENSG00000018189	7	1	8
ENSG00000018236	6	5	0
ENSG00000018280	2	2	17
ENSG00000018408	0	0	0
ENSG00000018510	0	0	1
ENSG00000018610	0	0	0
ENSG00000018625	5	3	0
ENSG00000018699	3	0	1
ENSG00000018869	0	0	0
ENSG00000019144	2	7	0
ENSG00000019485	2	0	0
ENSG00000019505	24	1	0
ENSG00000019549	13	2	0
ENSG00000019582	6	1	2
ENSG00000019991	0	0	4
ENSG00000020129	15	9	10
ENSG00000020181	2	0	0
ENSG00000020256	0	0	0
ENSG00000020426	2	0	0
ENSG00000020577	14	9	18
ENSG00000020633	0	0	6
ENSG00000020922	3	2	8
ENSG00000021300	1	1	18
ENSG00000021355	0	10	29
ENSG00000021574	3	0	4
ENSG00000021645	22	0	0
ENSG00000021762	3	0	0
ENSG00000021776	0	0	3
ENSG00000022267	0	0	0
ENSG00000022277	0	0	9
ENSG00000022355	34	0	0
ENSG00000022840	0	0	1
ENSG00000022976	4	8	1
ENSG00000023171	38	2	0
ENSG00000023191	6	0	2
ENSG00000023228	9	3	0
ENSG00000023287	3	0	0
ENSG00000023318	5	0	4
ENSG00000023330	4	0	3
ENSG00000023445	0	0	0
ENSG00000023516	0	0	0
ENSG00000023572	1	0	3
ENSG00000023608	4	0	14
ENSG00000023697	0	0	7
ENSG00000023734	0	4	10
ENSG00000023892	0	0	16
ENSG00000023902	4	0	9
ENSG00000023909	0	0	0
ENSG00000024048	0	0	4
ENSG00000024422	7	3	2
ENSG00000024526	1	0	2
ENSG00000025039	15	0	0
ENSG00000025156	0	0	0
ENSG00000025293	3	2	14
ENSG00000025423	2	0	5
ENSG00000025434	2	3	8
ENSG00000025708	0	1	3
ENSG00000025770	0	0	8
ENSG00000025772	0	0	1
ENSG00000025796	3	0	3
ENSG00000025800	3	2	1
ENSG00000026036	3	0	3
ENSG00000026103	0	0	9
ENSG00000026297	3	0	4
ENSG00000026508	0	0	0
ENSG00000026559	15	1	0
ENSG00000026652	16	23	2
ENSG00000026950	0	0	2
ENSG00000027075	0	0	10
ENSG00000027697	0	2	41
ENSG00000027847	0	0	0
ENSG00000028116	3	26	6
ENSG00000028137	0	0	6
ENSG00000028203	7	0	2
ENSG00000028277	4	0	34
ENSG00000028310	0	0	1
ENSG00000028528	14	43	24
ENSG00000028839	5	5	0
ENSG00000029153	0	0	0
ENSG00000029363	11	7	3
ENSG00000029364	5	0	0
ENSG00000029534	1	0	0
ENSG00000029639	0	3	0
ENSG00000029725	0	0	0
ENSG00000029993	0	0	0
ENSG00000030066	3	4	4
ENSG00000030110	6	0	0
ENSG00000030419	0	2	0
ENSG00000030582	7	9	21
ENSG00000031081	0	1	1
ENSG00000031698	29	28	3
ENSG00000031823	5	0	3
ENSG00000032219	0	0	2
ENSG00000032389	2	1	3
ENSG00000032444	3	3	3
ENSG00000032742	0	2	0
ENSG00000033011	0	0	0
ENSG00000033030	10	0	0
ENSG00000033050	2	0	0
ENSG00000033100	0	0	0
ENSG00000033122	48	18	0
ENSG00000033170	18	25	4
ENSG00000033178	2	2	0
ENSG00000033327	24	63	61
ENSG00000033627	1	7	6
ENSG00000033800	8	1	5
ENSG00000033867	3	0	17
ENSG00000034152	1	0	6
ENSG00000034510	8	0	2
ENSG00000034677	19	0	2
ENSG00000034693	6	4	2
ENSG00000034713	3	1	5
ENSG00000035115	10	0	0
ENSG00000035141	11	3	3
ENSG00000035403	5	0	4
ENSG00000035499	0	1	0
ENSG00000035664	1	9	1
ENSG00000035681	0	0	0
