Name	enhancer_num
ENSG00000225972	7
ENSG00000225630	7
ENSG00000223659	7
ENSG00000237973	7
ENSG00000229344	7
ENSG00000240409	7
ENSG00000248527	7
ENSG00000198744	7
ENSG00000230021	2
ENSG00000224956	2
ENSG00000223181	2
ENSG00000229905	2
ENSG00000240618	3
ENSG00000237491	55
ENSG00000228327	24
ENSG00000269831	39
ENSG00000230092	34
ENSG00000177757	37
ENSG00000240453	37
ENSG00000228794	59
ENSG00000225880	28
ENSG00000230368	29
ENSG00000234711	10
ENSG00000269308	20
ENSG00000272438	44
ENSG00000230699	23
ENSG00000241180	23
ENSG00000223764	18
ENSG00000187634	48
ENSG00000268179	28
ENSG00000188976	53
ENSG00000187961	33
ENSG00000187583	48
ENSG00000187642	41
ENSG00000188290	34
ENSG00000272512	34
ENSG00000231702	27
ENSG00000187608	27
ENSG00000224969	49
ENSG00000188157	100
ENSG00000242590	66
ENSG00000217801	35
ENSG00000273443	57
ENSG00000237330	54
ENSG00000131591	82
ENSG00000223823	31
ENSG00000207730	13
ENSG00000207607	13
ENSG00000198976	13
ENSG00000272141	13
ENSG00000162571	35
ENSG00000205231	25
ENSG00000186891	31
ENSG00000186827	42
ENSG00000078808	42
ENSG00000176022	31
ENSG00000184163	38
ENSG00000260179	37
ENSG00000160087	72
ENSG00000230415	56
ENSG00000162572	58
ENSG00000131584	56
ENSG00000169972	39
ENSG00000127054	48
ENSG00000240731	44
ENSG00000224051	46
ENSG00000169962	44
ENSG00000107404	37
ENSG00000162576	67
ENSG00000175756	41
ENSG00000223663	41
ENSG00000221978	38
ENSG00000224870	36
ENSG00000264293	35
ENSG00000242485	35
ENSG00000272455	35
ENSG00000225905	47
ENSG00000235098	47
ENSG00000205116	63
ENSG00000225285	29
ENSG00000179403	29
ENSG00000215915	37
ENSG00000160072	27
ENSG00000197785	61
ENSG00000205090	39
ENSG00000160075	41
ENSG00000215791	29
ENSG00000215014	30
ENSG00000236684	10
ENSG00000228594	11
ENSG00000197530	32
ENSG00000272106	13
ENSG00000189409	17
ENSG00000248333	33
ENSG00000272004	33
ENSG00000269737	31
ENSG00000189339	55
ENSG00000269227	31
ENSG00000215914	60
ENSG00000008128	54
ENSG00000227775	23
ENSG00000215790	45
ENSG00000268575	45
ENSG00000008130	38
ENSG00000078369	46
ENSG00000169885	8
ENSG00000142609	41
ENSG00000178821	7
ENSG00000233542	13
ENSG00000187730	13
ENSG00000067606	30
ENSG00000226969	11
ENSG00000271806	4
ENSG00000182873	11
ENSG00000269554	26
ENSG00000162585	23
ENSG00000234396	11
ENSG00000243558	11
ENSG00000203301	11
ENSG00000157933	34
ENSG00000269753	13
ENSG00000272161	13
ENSG00000238240	9
ENSG00000269896	9
ENSG00000272420	9
ENSG00000271921	13
ENSG00000116151	21
ENSG00000271847	21
ENSG00000178642	15
ENSG00000157916	17
ENSG00000157911	25
ENSG00000149527	46
ENSG00000229393	8
ENSG00000224387	8
ENSG00000157881	24
ENSG00000197921	15
ENSG00000272449	13
ENSG00000238164	27
ENSG00000157873	27
ENSG00000225931	15
ENSG00000228037	10
ENSG00000157870	13
ENSG00000142606	19
ENSG00000237058	6
ENSG00000215912	44
ENSG00000233234	26
ENSG00000231630	15
ENSG00000169717	21
ENSG00000177133	42
ENSG00000256761	42
ENSG00000142611	104
ENSG00000226286	26
ENSG00000272235	7
ENSG00000130762	23
ENSG00000272088	19
ENSG00000162591	35
ENSG00000207776	6
ENSG00000158109	17
ENSG00000238260	9
ENSG00000116213	6
ENSG00000078900	13
ENSG00000227589	5
ENSG00000235131	6
ENSG00000227372	4
ENSG00000235169	1
ENSG00000130764	8
ENSG00000116198	7
ENSG00000169598	6
ENSG00000264428	3
ENSG00000236423	7
ENSG00000198912	7
ENSG00000233304	15
ENSG00000226374	4
ENSG00000227169	2
ENSG00000196581	13
ENSG00000264101	4
ENSG00000131697	7
