Name	Description	chrom	type	start_hg19	end_hg19	strand	ts_id	gene_type	gene_status	loci_level	alias_symbol	official_name	SNP	SNP_chr	SNP_pos_hg19	de	dist	cap4_enhancer_no	fantom5_enhancer_no	UNIPROT	neuron_count	oligo_count	micro_count	fantom5	cap4	DTS	neuron_P	micro_P	oligo_P	DE	weight	pp	num
ENSG00000114771	AADAC	chr3	gene	151531825	151546272	+	ENSG00000114771.8	protein_coding	KNOWN	2	AADAC	AADAC	rs11707416	chr3	151108965	0.575057163293893	422860	1	0	P22760	0	0	0	1	0.751025430680886	0.511484823625923	1	1	1	0.8084495488105	0.883074367249677	0	0
ENSG00000197953	AADACL2	chr3	gene	151451704	151479127	+	ENSG00000197953.5	protein_coding	KNOWN	2	AADACL2	AADACL2	rs11707416	chr3	151108965	0.317958063723464	342739	15	1	Q6P093	0	0	0	0.470877768662838	0.680475799835931	0.427809680065628	1	1	1	0.464315012305168	1.61626890631853	7.53295668549906e-05	4
ENSG00000109576	AADAT	chr4	gene	170981373	171012850	-	ENSG00000109576.9	protein_coding	KNOWN	1	AADAT	AADAT	rs62333164	chr4	170583157	0.624	429693	134	0	Q4W5N8	11	5	0	1	0.140689089417555	0.518047579983593	0.0586546349466776	1	0.0918785890073831	0.849876948318294	3.65644057413388	0.000244821092278719	13
ENSG00000108825	AARSD1	chr17	gene	41102543	41132545	-	ENSG00000108825.11	protein_coding	KNOWN	1	AARSD1	AARSD1	rs12951632	chr17	40741013	0.570210748905273	391532	67	0	Q9BTE6	0	0	0	1	0.401148482362592	0.471287940935193	1	1	1	0.803117309269893	0.971540519143222	0.000169491525423729	9
ENSG00000073734	ABCB11	chr2	gene	169779448	169887832	-	ENSG00000073734.8	protein_coding	KNOWN	2	ABCB11	ABCB11	rs1474055,rs2102808,rs13016703	chr2	169110394	0.190817546492658	732237	110	1	O95342	0	0	0	0.470877768662838	0.202625102543068	0.789991796554553	1	1	1	0.252666119770304	1.61141906419084	0.000263653483992467	14
ENSG00000150967	ABCB9	chr12	gene	123405498	123466196	-	ENSG00000150967.12	protein_coding	KNOWN	1	ABCB9	ABCB9	rs11060180,rs10847864,rs12817488	chr12	123303586	0.129	139598	169	1	Q9NP78	22	0	4	0.470877768662838	0.064397046759639	0.210008203445447	0.0164068908941756	0.225184577522559	1	0.175553732567678	7.41047265538841	0.000885122410546139	47
ENSG00000114770	ABCC5	chr3	gene	183637722	183735803	-	ENSG00000114770.11	protein_coding	KNOWN	1	ABCC5	ABCC5	rs12637471,rs10513789,rs11711441,rs2270968,rs9858038	chr3	182762437	0.00872	914528	137	1	O15440	4	3	1	0.470877768662838	0.130434782608696	0.916324856439705	0.189909762100082	0.363002461033634	0.140689089417555	0.0406070549630845	4.95240404627368	0.000922787193973635	49
ENSG00000173208	ABCD2	chr12	gene	39943835	40013553	-	ENSG00000173208.3	protein_coding	KNOWN	2	ABCD2	ABCD2	rs76904798,rs34637584,rs117073808,rs141128804,rs34778348,rs1491942,rs1384236,rs28903073	chr12	40614434	0.524715407871038	444831	8	0	Q9UBJ2	3	0	0	1	0.723133716160787	0.539786710418376	0.262920426579163	1	1	0.760869565217391	2.22577838627618	0.000414312617702448	22
ENSG00000119688	ABCD4	chr14	gene	74752126	74769759	-	ENSG00000119688.14	protein_coding	KNOWN	2	ABCD4	ABCD4	rs3742785	chr14	75373034	0.734	603275	152	1	A0A024R6B9	1	0	1	0.470877768662838	0.100492206726825	0.694011484823626	0.344954881050041	0.363002461033634	1	0.912223133716161	1.52147907461406	0.000244821092278719	13
ENSG00000204574	ABCF1	chr6	gene	30539153	30564956	+	ENSG00000204574.6	protein_coding	KNOWN	1	ABCF1	ABCF1	rs9261484	chr6	30108683	0.253	430470	72	7	A0A1U9X609	2	0	1	0.111977030352748	0.370385561936013	0.519278096800656	0.315832649712879	0.363002461033634	1	0.357670221493027	2.83600238866282	0.00137476459510358	73
