Name	Description	chrom	type	start_hg19	end_hg19	strand	ts_id	gene_type	gene_status	loci_level	alias_symbol	official_name	SNP	SNP_chr	SNP_pos_hg19	char	dist	cap4_enhancer_no	fantom5_enhancer_no	gross	dnm	de	neuron_count	oligo_count	micro_count	fetal_enhancer	adult_enhancer	fantom5	cap4	DTS	neuron_P	micro_P	oligo_P	fetal_P	adult_P	DE	weight	pp	num
ENSG00000128274	A4GALT	chr22	gene	43088127	43117304	-	ENSG00000128274.10	protein_coding	KNOWN	2	A4GALT	A4GALT	rs6002655	chr22	42603814	rs6002655:ENSG00000128274	513490	59	2	0.99635	0.9668	0.6932	0	0	0	7	1	0.346119929453263	0.467372134038801	0.518518518518518	1	1	1	0.432539682539683	0.301587301587302	0.828924162257496	2.04310189263781	0.000285388127853881	15
ENSG00000109576	AADAT	chr4	gene	170981373	171012850	-	ENSG00000109576.9	protein_coding	KNOWN	1	AADAT	AADAT	rs10520163	chr4	170626552	rs10520163:ENSG00000109576	386298	134	0	0.99635	0.9668	0.01845	11	5	0	2	0	1	0.150793650793651	0.389770723104056	0.0776014109347443	1	0.0895061728395062	0.717813051146384	1	0.0612874779541446	3.73437633392695	0.000247336377473364	13
ENSG00000085563	ABCB1	chr7	gene	87132948	87342611	-	ENSG00000085563.8	protein_coding	KNOWN	1	ABCB1	ABCB1	rs12704290	chr7	86427626	rs12704290:ENSG00000085563	914985	0	0	0.99635	0.9668	0.5161	0	0	0	6	0	1	1	0.873015873015873	1	1	1	0.47663139329806	1	0.670194003527337	0.535989592166382	0.000171232876712329	9
ENSG00000005471	ABCB4	chr7	gene	87031013	87109751	-	ENSG00000005471.11	protein_coding	KNOWN	2	ABCB4	ABCB4	rs12704290	chr7	86427626	rs12704290:ENSG00000005471	682125	19	0	0.99635	0.9668	0.716091643951876	3	0	0	6	0	1	0.664462081128748	0.67989417989418	0.27336860670194	1	1	0.47663139329806	1	0.846560846560847	0.552391310550183	3.80517503805175e-05	2
ENSG00000150967	ABCB9	chr12	gene	123405498	123466196	-	ENSG00000150967.12	protein_coding	KNOWN	1	ABCB9	ABCB9	rs2851447	chr12	123665113	rs2851447:ENSG00000150967	198917	169	1	0.99635	0.9668	0.241	22	0	4	27	16	0.488977072310406	0.0656966490299824	0.200176366843033	0.0335097001763668	0.189594356261023	1	0.0886243386243386	0.058641975308642	0.324514991181658	5.57028454955095	0.000627853881278539	33
ENSG00000248487	ABHD14A	chr3	gene	52005442	52015212	+	ENSG00000248487.3	protein_coding	KNOWN	2	ABHD14A	ABHD14A	rs2535627	chr3	52845105	rs2535627:ENSG00000248487	839663	134	0	0.99635	0.9668	0.1566	2	8	3	10	5	1	0.150793650793651	0.799823633156966	0.328924162257496	0.224867724867725	0.0599647266313933	0.327160493827161	0.187389770723104	0.219135802469136	3.4159921688468	0.000361491628614916	19
ENSG00000114779	ABHD14B	chr3	gene	52002526	52017425	-	ENSG00000114779.14	protein_coding	KNOWN	2	ABHD14B	ABHD14B	rs2535627	chr3	52845105	rs2535627:ENSG00000114779	827680	135	2	0.99635	0.9668	0.946	0	0	0	25	5	0.346119929453263	0.145502645502645	0.788800705467372	1	1	1	0.104497354497354	0.187389770723104	0.972663139329806	1.93952354229634	0.000494672754946728	26
ENSG00000159842	ABR	chr17	gene	906758	1132315	-	ENSG00000159842.8	protein_coding	KNOWN	2	ABR	ABR	rs4523957	chr17	2208899	rs4523957:ENSG00000159842	1076584	63	5	0.99635	0.9668	0.3358	38	0	81	56	46	0.153439153439153	0.448853615520282	0.976190476190476	0.0158730158730159	0.00132275132275132	1	0.0145502645502645	0.00837742504409171	0.43694885361552	5.63425136777792	0.00169330289193303	89
ENSG00000076555	ACACB	chr12	gene	109554400	109706031	+	ENSG00000076555.10	protein_coding	KNOWN	2	ACACB	ACACB	rs4766428	chr12	110723245	rs4766428:ENSG00000076555	1168845	0	2	0.99635	0.9668	0.05552	0	0	0	30	15	0.346119929453263	1	0.991622574955908	1	1	1	0.0731922398589065	0.0674603174603175	0.104938271604938	4.9590114475197	0.00136986301369863	72
ENSG00000151498	ACAD8	chr11	gene	134123389	134135749	+	ENSG00000151498.6	protein_coding	KNOWN	2	ACAD8	ACAD8	rs75059851	chr11	133822569	rs75059851:ENSG00000151498	300820	93	0	0.99635	0.9668	0.5746	0	0	0	10	0	1	0.308201058201058	0.306437389770723	1	1	1	0.327160493827161	1	0.727954144620811	1.50025904021037	0.00015220700152207	8
