Name	Description	chrom	type	start_hg19	end_hg19	strand	ts_id	gene_type	gene_status	loci_level	alias_symbol	official_name	SNP	SNP_chr	SNP_pos_hg19	de	dist	cap4_enhancer_no	fantom5_enhancer_no	neuron_count	oligo_count	micro_count	fantom5	cap4	DTS	neuron_P	micro_P	oligo_P	DE	weight	pp	num
ENSG00000119688	ABCD4	chr14	gene	74752126	74769759	-	ENSG00000119688.14	protein_coding	KNOWN	2	ABCD4	ABCD4	rs1045430	chr14	75130235	0.53336111	360476	152	1	1	0	1	0.464264264264264	0.107507507507508	0.353753753753754	0.34954954954955	0.327927927927928	1	0.742342342342342	2.38820893784297	0.000362733867888507	19
ENSG00000172350	ABCG4	chr11	gene	119019722	119033360	+	ENSG00000172350.5	protein_coding	KNOWN	1	ABCG4	ABCG4	rs2187490	chr11	118713180	0.04696039	306542	73	1	2	0	0	0.464264264264264	0.412612612612613	0.301501501501502	0.311111111111111	1	1	0.0828828828828829	4.85691216013522	0.000954562810232913	50
ENSG00000168792	ABHD15	chr17	gene	27887691	27894042	-	ENSG00000168792.2	protein_coding	KNOWN	3	ABHD15	ABHD15	rs75581564	chr17	27363750	0.94948925	530292	48	1	1	8	4	0.464264264264264	0.524324324324324	0.52972972972973	0.34954954954955	0.184384384384384	0.0588588588588589	0.988588588588589	1.69797532226839	0.000229095074455899	12
ENSG00000011198	ABHD5	chr3	gene	43731605	43775863	+	ENSG00000011198.3	protein_coding	KNOWN	1	ABHD5	ABHD5	rs4346585	chr3	44736493	0.33120866	1004888	13	3	2	0	0	0.246246246246246	0.712912912912913	0.954954954954955	0.311111111111111	1	1	0.485285285285285	1.93671461124878	0.000362733867888507	19
ENSG00000076555	ACACB	chr12	gene	109554400	109706031	+	ENSG00000076555.10	protein_coding	KNOWN	2	ACACB	ACACB	rs10774600	chr12	110741356	0.21980541	1186956	0	2	0	0	0	0.324924924924925	1	0.986786786786787	1	1	1	0.32972972972973	1.12278324528229	0.000534555173730431	28
ENSG00000122971	ACADS	chr12	gene	121163538	121177811	+	ENSG00000122971.4	protein_coding	KNOWN	2	ACADS	ACADS	rs3213572	chr12	121205078	0.42095133	41540	176	1	0	0	1	0.464264264264264	0.0612612612612613	0.042042042042042	1	0.327927927927928	1	0.604204204204204	3.67292821212004	0.000744558991981672	39
ENSG00000100412	ACO2	chr22	gene	41865117	41924993	+	ENSG00000100412.10	protein_coding	KNOWN	1	ACO2	ACO2	rs5995992	chr22	41487218	0.15036985	377899	49	1	0	4	5	0.464264264264264	0.518318318318318	0.374174174174174	1	0.152552552552553	0.124924924924925	0.222222222222222	2.48711128040337	0.000820924016800306	43
ENSG00000205669	ACOT6	chr14	gene	74077649	74086592	+	ENSG00000205669.2	protein_coding	KNOWN	2	ACOT6	ACOT6	rs1045430	chr14	75130235	0.95262654	1052586	0	0	0	0	0	1	1	0.969369369369369	1	1	1	0.98978978978979	0.0413722455297773	0	0
ENSG00000101473	ACOT8	chr20	gene	44470360	44486045	-	ENSG00000101473.11	protein_coding	KNOWN	1	ACOT8	ACOT8	rs12624433	chr20	44680853	0.17176383	194808	31	0	7	0	6	1	0.618618618618619	0.193993993993994	0.116516516516517	0.132732732732733	1	0.251651651651652	5.16935980503551	0.00126002290950745	66
ENSG00000166743	ACSM1	chr16	gene	20634559	20710212	-	ENSG00000166743.5	protein_coding	KNOWN	2	ACSM1	ACSM1	rs12923444	chr16	21639710	0.48045534	929498	63	0	0	0	0	1	0.455855855855856	0.885285285285285	1	1	1	0.676876876876877	0.51211121804003	7.63650248186331e-05	4
ENSG00000066813	ACSM2B	chr16	gene	20547548	20587749	-	ENSG00000066813.10	protein_coding	KNOWN	2	ACSM2B	ACSM2B	rs12923444	chr16	21639710	0.12000226	1051961	0	0	0	0	0	1	1	0.968768768768769	1	1	1	0.167567567567568	1.81809794488251	0.000362733867888507	19
ENSG00000005187	ACSM3	chr16	gene	20621565	20808903	+	ENSG00000005187.7	protein_coding	KNOWN	2	ACSM3	ACSM3	rs12923444	chr16	21639710	0.08757418	1018145	3	0	0	0	0	1	0.758558558558559	0.957957957957958	1	1	1	0.12972972972973	2.08525338192598	0.000210003818251241	11
ENSG00000248746	ACTN3	chr11	gene	66313866	66330800	+	ENSG00000248746.1	polymorphic_pseudogene	KNOWN	2	ACTN3	ACTN3	rs58621819	chr11	65314830	0.5139526	999036	77	0	0	0	0	1	0.396996996996997	0.952552552552553	1	1	1	0.722522522522522	0.373616686659616	5.72737686139748e-05	3
ENSG00000113812	ACTR8	chr3	gene	53901093	53916229	-	ENSG00000113812.9	protein_coding	KNOWN	1	ACTR8	ACTR8	rs7624336	chr3	53244151	0.15695774	672078	124	0	4	1	2	1	0.195195195195195	0.657057057057057	0.191591591591592	0.273273273273273	0.237237237237237	0.232432432432432	3.53152942844708	0.000649102710958381	34
ENSG00000119640	ACYP1	chr14	gene	75519924	75536186	-	ENSG00000119640.4	protein_coding	KNOWN	2	ACYP1	ACYP1	rs1045430	chr14	75130235	0.29615688	405951	83	1	5	12	16	0.464264264264264	0.367567567567568	0.397597597597598	0.165765765765766	0.0366366366366366	0.0414414414414414	0.434234234234234	3.55366556343071	0.000248186330660557	13
ENSG00000164113	ADAD1	chr4	gene	123300121	123350957	+	ENSG00000164113.6	protein_coding	KNOWN	1	ADAD1	ADAD1	rs45510091	chr4	123186393	0.05216403	113728	20	0	0	0	0	1	0.669069069069069	0.102102102102102	1	1	1	0.0900900900900901	4.68872707368257	0.000420007636502482	22
ENSG00000114948	ADAM23	chr2	gene	207308263	207485851	+	ENSG00000114948.7	protein_coding	KNOWN	2	ADAM23	ADAM23	rs62188629	chr2	208044470	0.34419084	736207	122	0	11	3	0	1	0.203603603603604	0.714714714714715	0.0660660660660661	1	0.148948948948949	0.503903903903904	3.73834154887843	0.000820924016800306	43
ENSG00000105963	ADAP1	chr7	gene	937540	995043	-	ENSG00000105963.7	protein_coding	KNOWN	1	ADAP1	ADAP1	rs3823624	chr7	2110346	0.24747556	1115303	80	12	0	0	0	0.0408408408408408	0.383783783783784	0.977777777777778	1	1	1	0.363363363363363	1.03482480023576	0.000324551355479191	17
ENSG00000185736	ADARB2	chr10	gene	1228073	1779670	-	ENSG00000185736.11	protein_coding	KNOWN	2	ADARB2	ADARB2	rs997934	chr10	1795194	0.20544113	15524	9	3	0	0	0	0.246246246246246	0.730930930930931	0.0156156156156156	1	1	1	0.302702702702703	5.35448799873624	0.00175639557082856	92
ENSG00000189007	ADAT2	chr6	gene	143747078	143771810	-	ENSG00000189007.9	protein_coding	KNOWN	2	ADAT2	ADAT2	rs2876520	chr6	142996618	0.25315007	775192	65	1	0	0	0	0.464264264264264	0.448048048048048	0.751951951951952	1	1	1	0.371171171171171	1.27617479571135	0.000267277586865216	14
