Name	Description	chrom	type	start_hg19	end_hg19	strand	ts_id	gene_type	gene_status	loci_level	alias_symbol	official_name	SNP	SNP_chr	SNP_pos_hg19	de	dist	cap4_enhancer_no	fantom5_enhancer_no	neuron_count	oligo_count	micro_count	fantom5	cap4	DTS	neuron_P	micro_P	oligo_P	DE	weight	pp	num
ENSG00000103591	AAGAB	chr15	gene	67493371	67547533	-	ENSG00000103591.8	protein_coding	KNOWN	2	AAGAB	AAGAB	rs2127162	chr15	68090824	0.359	543291	242	0	7	0	14	1	0.00851703406813627	0.598196392785571	0.112725450901804	0.064128256513026	1	0.534569138276553	3.32293042315551	0.00106788710907704	56
ENSG00000006071	ABCC8	chr11	gene	17414432	17498449	-	ENSG00000006071.6	protein_coding	KNOWN	2	ABCC8	ABCC8	rs4356203	chr11	17160148	0.076	338301	143	0	5	1	0	1	0.113226452905812	0.39128256513026	0.159318637274549	1	0.229458917835671	0.183366733466934	4.471441504593	0.00085812356979405	45
ENSG00000204574	ABCF1	chr6	gene	30539153	30564956	+	ENSG00000204574.6	protein_coding	KNOWN	1	ABCF1	ABCF1	rs8321,rs2021722,rs144373461,rs9378249	chr6	30032522	0.101	365022	72	7	2	0	1	0.108216432865731	0.352705410821643	0.418336673346693	0.314629258517034	0.345190380761523	1	0.215931863727455	3.56062138919143	0.00255530129672006	134
ENSG00000143994	ABHD1	chr2	gene	27346682	27353680	+	ENSG00000143994.9	protein_coding	KNOWN	2	ABHD1	ABHD1	rs2305929	chr2	28113911	0.469	767229	92	0	1	0	0	1	0.251503006012024	0.779559118236473	0.341683366733467	1	1	0.67935871743487	1.70950353953209	3.813882532418e-05	2
ENSG00000248487	ABHD14A	chr3	gene	52005442	52015212	+	ENSG00000248487.3	protein_coding	KNOWN	2	ABHD14A	ABHD14A	rs2535629,rs7618915,rs2302417,rs614288,rs2710323	chr3	52833219	0.0314	214761	134	0	2	8	3	1	0.13376753507014	0.268537074148297	0.314629258517034	0.252004008016032	0.0470941883767535	0.114228456913828	4.64068141412079	0.00055301296720061	29
ENSG00000114779	ABHD14B	chr3	gene	52002526	52017425	-	ENSG00000114779.14	protein_coding	KNOWN	2	ABHD14B	ABHD14B	rs2535629,rs7618915,rs2302417,rs614288,rs2710323	chr3	52833219	0.395	202778	135	2	0	0	0	0.334168336673347	0.131763527054108	0.25501002004008	1	1	1	0.589679358717435	1.89462878993202	0.00043859649122807	23
ENSG00000204427	ABHD16A	chr6	gene	31654726	31671221	-	ENSG00000204427.7	protein_coding	KNOWN	1	ABHD16A	ABHD16A	rs9378249	chr6	31327701	0.00103	343520	41	3	11	6	18	0.25	0.523046092184369	0.397795591182365	0.0701402805611222	0.0415831663326653	0.0706412825651303	0.0200400801603206	7.48909603264385	0.00102974828375286	54
ENSG00000099204	ABLIM1	chr10	gene	116190872	116444414	-	ENSG00000099204.12	protein_coding	KNOWN	2	ABLIM1	ABLIM1	rs7089973	chr10	116569565	0.0963	125151	197	7	16	0	0	0.108216432865731	0.032064128256513	0.178857715430862	0.0375751503006012	1	1	0.211422845691383	6.55647216126227	0.0015255530129672	80
ENSG00000172497	ACOT12	chr5	gene	80625824	80689998	-	ENSG00000172497.4	protein_coding	KNOWN	2	ACOT12	ACOT12	rs10035291	chr5	80796368	0.229	106370	61	1	2	1	0	0.469438877755511	0.419338677354709	0.145791583166333	0.314629258517034	1	0.229458917835671	0.37124248496994	4.07283731167845	0.00053394355453852	28
ENSG00000101473	ACOT8	chr20	gene	44470360	44486045	-	ENSG00000101473.11	protein_coding	KNOWN	1	ACOT8	ACOT8	rs6130764	chr20	43750410	0.346	735635	31	0	7	0	6	1	0.56813627254509	0.750501002004008	0.112725450901804	0.158817635270541	1	0.514529058116233	3.13431759440408	0.00074370709382151	39
ENSG00000197142	ACSL5	chr10	gene	114133776	114188138	+	ENSG00000197142.6	protein_coding	KNOWN	2	ACSL5	ACSL5	chr10_111745562_I	chr10	113505320	0.45	628456	44	4	0	0	0	0.202404809619238	0.506513026052104	0.670340681362725	1	1	1	0.656312625250501	0.821087256859448	0.00017162471395881	9
ENSG00000248746	ACTN3	chr11	gene	66313866	66330800	+	ENSG00000248746.1	polymorphic_pseudogene	KNOWN	2	ACTN3	ACTN3	rs7122539,rs10896090,rs489337	chr11	66662731	0.615	348865	77	0	0	0	0	1	0.327655310621242	0.403306613226453	1	1	1	0.806112224448898	1.12359048933187	9.534706331045e-05	5
ENSG00000138107	ACTR1A	chr10	gene	104238986	104262482	-	ENSG00000138107.6	protein_coding	KNOWN	2	ACTR1A	ACTR1A	rs11191580,rs7914558,rs11191454	chr10	104906211	0.166	397522	85	3	0	0	0	0.25	0.287575150300601	0.453406813627254	1	1	1	0.293086172344689	2.01825412281104	0.00123951182303585	65
ENSG00000115073	ACTR1B	chr2	gene	98272431	98280570	-	ENSG00000115073.5	protein_coding	KNOWN	2	ACTR1B	ACTR1B	rs2271893,chr2_97376407_I,rs56361249	chr2	97405440	0.0154	238970	181	1	10	1	0	0.469438877755511	0.0465931863727455	0.295591182364729	0.0791583166332665	1	0.229458917835671	0.0876753507014028	6.18919782676398	0.00108695652173913	57
ENSG00000243989	ACY1	chr3	gene	52009066	52023213	+	ENSG00000243989.3	protein_coding	KNOWN	1	ACY1	ACY1	rs2535629,rs7618915,rs2302417,rs614288,rs2710323	chr3	52833219	0.00757	211137	48	1	0	0	0	0.469438877755511	0.487975951903808	0.263527054108216	1	1	1	0.0561122244488978	4.21400082971001	0.00068649885583524	36
ENSG00000132744	ACY3	chr11	gene	67410026	67418130	-	ENSG00000132744.3	protein_coding	KNOWN	1	ACY3	ACY3	rs7122539	chr11	66662731	0.505	755399	33	1	0	0	1	0.469438877755511	0.560120240480962	0.767535070140281	1	0.345190380761523	1	0.714428857715431	0.600842962468041	7.627765064836e-05	4
ENSG00000196839	ADA	chr20	gene	43248163	43280874	-	ENSG00000196839.8	protein_coding	KNOWN	1	ADA	ADA	rs6130764,chr20_43682549_I	chr20	43750410	0.511	469536	81	6	0	0	0	0.128256513026052	0.30561122244489	0.523547094188377	1	1	1	0.722945891783567	0.971549190570036	0.00028604118993135	15
ENSG00000168803	ADAL	chr15	gene	43622872	43646096	+	ENSG00000168803.10	protein_coding	KNOWN	2	ADAL	ADAL	rs4447398,rs112968809	chr15	42904904	0.544	592469	65	0	0	0	0	1	0.395791583166333	0.637274549098196	1	1	1	0.756513026052104	0.729590240033781	5.720823798627e-05	3
ENSG00000073670	ADAM11	chr17	gene	42836568	42859214	+	ENSG00000073670.7	protein_coding	KNOWN	3	ADAM11	ADAM11	rs112114764	chr17	42201041	0.00357	635527	12	3	0	0	0	0.25	0.69689378757515	0.678356713426854	1	1	1	0.0400801603206413	3.60495582559672	0.00024790236460717	13
